dh_utc,humidite,id_station,nebulosite,neige_au_sol,pluie_1h,pluie_3h,point_de_rosee,pression,temperature,temps_omm,vent_direction,vent_moyen,vent_rafales,visibilite
2024-10-05 00:00:00,89,07015,,,0,0,5.9,1020.7,7.6,,90,3.6,7.2,6000
2024-10-05 01:00:00,92,07015,,,0,,6.3,1020.6,7.5,,30,3.6,7.2,7000
2024-10-05 02:00:00,93,07015,,,0,,6.3,1020.3,7.4,10,40,7.2,7.2,4400
2024-10-05 03:00:00,95,07015,,,0,0,5.5,1020.1,6.2,10,60,3.6,7.2,2500
2024-10-05 04:00:00,96,07015,,,0,,4.9,1019.9,5.5,44,90,3.6,3.6,500
2024-10-05 05:00:00,98,07015,,,0,,4.7,1019.8,5,44,100,3.6,3.6,300
2024-10-05 06:00:00,100,07015,8,,0,0,5.1,1019.7,5.1,45,100,3.6,10.8,100
2024-10-05 07:00:00,100,07015,,,0,,5.8,1019.5,5.8,44,90,3.6,10.8,700
2024-10-05 08:00:00,98,07015,,,0,,7.9,1019.6,8.2,,120,7.2,10.8,5000
2024-10-05 09:00:00,84,07015,,,0,0,8.7,1019.6,11.3,,140,7.2,10.8,6000
2024-10-05 10:00:00,72,07015,,,0,,8.8,1019.1,13.8,,140,7.2,10.8,11000
2024-10-05 11:00:00,65,07015,,,0,,8.9,1018.4,15.5,,150,7.2,14.4,26000
2024-10-05 12:00:00,57,07015,,,0,0,8.3,1017.4,16.9,,160,10.8,21.6,25000
2024-10-05 13:00:00,58,07015,,,0,,8.9,1016.4,17.2,,140,10.8,32.4,25000
2024-10-05 14:00:00,56,07015,,,0,,7.4,1015.9,16.2,,160,10.8,28.8,30000
2024-10-05 15:00:00,58,07015,7,,0,0,7.5,1015.3,15.8,,90,14.4,21.6,30000
2024-10-05 16:00:00,61,07015,,,0,,7.4,1014.5,14.9,,100,14.4,21.6,19000
2024-10-05 17:00:00,71,07015,,,0,,7.4,1013.9,12.5,,90,10.8,18,40000
2024-10-05 18:00:00,78,07015,,,0,0,7.2,1013.7,10.9,,90,10.8,14.4,30000
2024-10-05 19:00:00,81,07015,,,0,,7.3,1013.3,10.4,,90,7.2,10.8,19000
2024-10-05 20:00:00,85,07015,,,0,,6.8,1012.9,9.2,,90,10.8,18,20000
2024-10-05 21:00:00,86,07015,,,0,0,6.5,1012.4,8.7,,100,14.4,21.6,22000
2024-10-05 22:00:00,86,07015,,,0,,6.1,1012.3,8.3,,120,7.2,18,26000
2024-10-05 23:00:00,88,07015,,,0,,5.7,1011.4,7.6,,120,7.2,14.4,21000
2024-10-06 00:00:00,87,07015,,,0.2,0.2,5.4,1010.8,7.4,,100,10.8,18,21000
2024-10-06 01:00:00,88,07015,,,0,,5.9,1010.2,7.8,,120,10.8,18,22000
2024-10-06 02:00:00,89,07015,,,0,,6.2,1009,7.9,,100,14.4,25.2,21000
2024-10-06 03:00:00,89,07015,6,,0,0,6.5,1008.5,8.2,,110,14.4,25.2,26000
2024-10-06 04:00:00,89,07015,8,,0,,6.5,1007.8,8.2,,110,18,28.8,26000
2024-10-06 05:00:00,89,07015,8,,0,,6.7,1007.2,8.4,,110,18,25.2,26000
2024-10-06 06:00:00,88,07015,8,,0,0,6.9,1007,8.8,,110,21.6,28.8,27000
2024-10-06 07:00:00,85,07015,8,,0,,7,1006.4,9.4,,90,18,32.4,23000
2024-10-06 08:00:00,85,07015,7,,0,,7.5,1006.2,9.9,,110,14.4,32.4,30000
2024-10-06 09:00:00,79,07015,8,,0,0,8.5,1005.3,12,,120,21.6,32.4,19000
2024-10-06 10:00:00,71,07015,,,0,,8.4,1004.8,13.6,,140,21.6,39.6,20000
2024-10-06 11:00:00,67,07015,,,0,,9.3,1004,15.4,,140,25.2,43.2,16000
2024-10-06 12:00:00,69,07015,7,,0,0,9.4,1003.1,15,,140,25.2,39.6,17000
2024-10-06 13:00:00,69,07015,7,,0,,9.6,1002.4,15.3,,130,25.2,36,19000
2024-10-06 14:00:00,71,07015,8,,0,,9.8,1002,15,,150,25.2,46.8,22000
2024-10-06 15:00:00,88,07015,8,,0,,11.4,1002.1,13.3,61,160,21.6,43.2,3900
2024-10-06 16:00:00,88,07015,8,,0,,11.3,1001.7,13.2,,150,18,32.4,19000
2024-10-06 17:00:00,95,07015,8,,0,,12.2,1001.7,13,10,160,18,28.8,4600
2024-10-06 18:00:00,98,07015,8,,0,,12.8,1001.3,13.1,10,160,14.4,25.2,3000
